T,µB,µQ,µS,p/T^4,s/T^3,nB/T^3,nS/T^3,nQ/T^3,ε/T^4,cs2,chiBB/T^2,chiQQ/T^2,chiSS/T^2,chiBQ/T^2,chiBS/T^2,chiQS/T^2,chiTB/T^2,chiTQ/T^2,chiTS/T^2,chiTT/T^2
5,-200,-600,-200,2.08986947e+06,2.48213757e+04,-1.59129168e+05,-4.68249120e-06,-3.18258336e+05,4.24911189e+07,7.51712932e-02,7.54496988e+03,3.01798795e+04,4.68249122e-06,1.50899398e+04,-1.11271390e-42,4.68249122e-06,-4.82080668e+02,-9.64161428e+02,-9.32305136e-05,2.48134456e+04
5,-200,-600,0,2.08986947e+06,2.48213756e+04,-1.59129168e+05,-1.98928813e-23,-3.18258336e+05,4.24911189e+07,7.73824438e-02,7.54496988e+03,3.01798795e+04,1.98928814e-23,1.50899398e+04,-7.06087978e-32,1.98928813e-23,-4.82080668e+02,-9.64161335e+02,-1.19179149e-21,2.48134437e+04
5,-200,-600,200,2.08986947e+06,2.48213756e+04,-1.59129168e+05,-4.34840227e-07,-3.18258336e+05,4.24911189e+07,7.52292586e-02,7.54496988e+03,3.01798795e+04,4.34840261e-07,1.50899398e+04,-1.66202707e-14,4.34840228e-07,-4.82080668e+02,-9.64161344e+02,-8.83542554e-06,2.48134439e+04
5,-200,-600,400,2.09199432e+06,2.71540889e+04,-1.60544634e+05,1.41546639e+03,-3.19673802e+05,4.28310387e+07,7.49796575e-02,8.26144467e+03,3.08963543e+04,7.16474784e+02,1.58064146e+04,-7.16474783e+02,-7.16474783e+02,-1.10301202e+03,-1.58509269e+03,6.20931361e+02,2.70357193e+04
5,-200,-600,600,4.06432183e+06,5.45631227e+04,-3.01948767e+05,1.71403265e+05,-4.32494270e+05,8.05358962e+07,6.71883822e-02,1.66164190e+04,3.65755804e+04,1.70986938e+04,2.14856407e+04,-1.17471973e+04,-6.39570089e+03,-2.43694103e+03,-2.60919562e+03,2.26468645e+03,5.39724378e+04
5,-200,-600,800,6.65381399e+07,2.78858145e+05,-2.76785858e+06,5.31207311e+06,-2.23644054e+05,9.21224046e+08,9.35667442e-02,8.46804357e+04,6.86388391e+04,3.36707262e+05,1.76633299e+04,-1.51697542e+05,3.33121794e+04,-6.13053045e+03,-2.03515875e+03,1.02259023e+04,2.81041136e+05
5,-200,-400,-800,5.14598316e+08,8.46883862e+05,1.20888478e+07,-3.49614516e+07,-1.20602641e+07,5.56134804e+09,9.61637339e-02,2.56029192e+05,2.53353463e+05,2.09750148e+06,-2.53353444e+05,-7.26735323e+05,7.21383845e+05,1.05999955e+04,-1.02903991e+04,-2.94915704e+04,8.43376484e+05
5,-200,-400,-600,1.81926627e+07,6.81361472e+04,7.42001477e+05,-2.19742077e+06,-7.42001477e+05,2.75246024e+08,nan,2.06185330e+04,2.06185330e+04,1.72188056e+05,-2.06185330e+04,-5.91798507e+04,5.91798507e+04,1.59914237e+03,-1.59914237e+03,-4.48760103e+03,7.01622049e+04
5,-200,-400,-400,1.91914092e-01,7.67743081e-01,-6.98353233e-18,-5.11733144e-06,-4.68249120e-06,5.76612975e-01,3.32956777e-01,6.99029528e-18,4.68249122e-06,5.11733146e-06,1.39704461e-17,-1.01442950e-20,4.68249122e-06,-3.34536775e-16,-9.32305136e-05,-1.02065940e-04,2.30495128e+00
5,-200,-400,-200,1.91908974e-01,7.67635898e-01,-6.98691381e-18,-2.17402367e-23,-1.39738475e-17,5.75726924e-01,3.33333332e-01,6.98691381e-18,2.79476751e-17,2.17402367e-23,1.39738276e-17,-4.72720284e-60,1.98928813e-23,-3.34726124e-16,-6.69453439e-16,-1.30322174e-21,2.30290770e+00
5,-200,-400,0,1.91909409e-01,7.67645168e-01,-6.98691381e-18,-4.34840243e-07,-4.34840243e-07,5.75770546e-01,3.33314439e-01,6.98691381e-18,4.34840244e-07,4.34840244e-07,1.39738276e-17,-2.99971187e-49,4.34840244e-07,-3.34726124e-16,-8.83542620e-06,-8.83542619e-06,2.30308790e+00
5,-200,-400,200,1.91908974e-01,7.67635898e-01,-6.98691381e-18,7.06087582e-32,-1.39738295e-17,5.75726924e-01,3.33333332e-01,6.98691381e-18,2.79476571e-17,3.69471086e-24,1.39738276e-17,-7.06087978e-32,1.84735532e-24,-3.34726124e-16,-6.69452358e-16,5.60547825e-30,2.30290770e+00
5,-200,-400,400,1.91909409e-01,7.67645168e-01,-1.66272576e-14,4.34840260e-07,-1.66342445e-14,5.75770546e-01,3.33315049e-01,1.66272576e-14,1.66482184e-14,4.34840261e-07,1.66342445e-14,-1.66202707e-14,-1.66202707e-14,-6.54971440e-13,-6.55306166e-13,8.83542685e-06,2.30308790e+00
5,-200,-400,600,1.90619961e+05,1.11323903e+04,-2.99991329e+04,5.85828002e+04,-1.41546559e+03,8.16365101e+06,9.47815200e-02,3.39222380e+03,7.16475579e+02,1.14194748e+04,7.16473988e+02,-6.06797362e+03,-7.16472396e+02,-9.30770169e+02,-6.20918621e+02,1.24062172e+03,1.09956045e+04
5,-200,-400,800,1.01956245e+08,2.92938175e+05,-3.37756124e+06,8.59912011e+06,1.87258130e+06,1.25949186e+09,1.00832467e-01,8.90913837e+04,5.04148775e+04,5.43895574e+05,-3.76234757e+04,-2.13130495e+05,1.22986081e+05,-5.44260898e+03,1.53720625e+02,1.07291126e+04,2.92926433e+05
5,-200,-200,-800,1.96694095e+08,3.73485344e+05,4.88544149e+06,-1.43740982e+07,-4.85685782e+06,2.10239176e+09,9.56821030e-02,1.13404510e+05,1.10728762e+05,9.48170888e+05,-1.10728762e+05,-3.25719590e+05,3.20368094e+05,9.57722740e+03,-9.26740131e+03,-2.72089557e+04,3.71254788e+05
5,-200,-200,-600,1.61582592e+06,3.19273706e+04,1.59653838e+05,-4.78961513e+05,-1.59653838e+05,5.58914831e+07,4.58912493e-02,9.70611265e+03,9.70611265e+03,8.73550138e+04,-9.70611265e+03,-2.91183379e+04,2.91183379e+04,7.39268461e+02,-7.39268554e+02,-2.21780548e+03,3.18921461e+04
5,-200,-200,-400,1.91909409e-01,7.67645168e-01,1.43656989e-38,-4.34840243e-07,-1.98928382e-23,5.75770546e-01,3.33315049e-01,1.43657112e-38,1.98929245e-23,4.34840244e-07,-1.43656989e-38,-4.30965588e-38,1.98928813e-23,1.37904871e-36,-1.19178852e-21,-8.83542619e-06,2.30308790e+00
5,-200,-200,-200,1.91909409e-01,7.67645168e-01,-6.13553283e-45,-4.34840243e-07,-4.34840243e-07,5.75770546e-01,nan,6.13553283e-45,4.34840244e-07,4.34840244e-07,6.13553296e-45,-2.00828323e-77,4.34840244e-07,-6.69447631e-43,-8.83542619e-06,-8.83542619e-06,2.30308790e+00
5,-200,-200,0,1.91908974e-01,7.67635898e-01,-6.13553283e-45,-1.84735539e-24,-1.84731226e-24,5.75726924e-01,3.33333332e-01,6.13553283e-45,1.84739852e-24,1.84735539e-24,6.13553296e-45,-1.27438387e-66,1.84735539e-24,-6.69447631e-43,-1.11427253e-22,-1.11430236e-22,2.30290770e+00
5,-200,-200,200,1.91908974e-01,7.67635898e-01,-6.13583281e-45,1.84735539e-24,4.31284199e-29,5.75726924e-01,3.33333332e-01,6.13583281e-45,4.31284199e-29,1.84735539e-24,6.13583293e-45,-2.99971187e-49,1.56964400e-41,-6.69483444e-43,2.98299983e-27,1.11430236e-22,2.30290770e+00
5,-200,-200,400,1.91909409e-01,7.67645168e-01,-1.30958229e-25,4.34840243e-07,1.84739845e-24,5.75770546e-01,3.33315049e-01,1.30958229e-25,1.84739859e-24,4.34840244e-07,7.06087834e-32,-2.61916388e-25,1.84735532e-24,-8.52630972e-24,1.11433213e-22,8.83542619e-06,2.30308790e+00
