#         pdgid       name            stable      mass[GeV]      degeneracy      statistics      B      Q      S      C      |S|      |C|      width[GeV]      threshold[GeV]
        9811218       N(1990)0        0           2.02000        8               1               1      0      0      0      0        0        0.300000        0
        9812128       N(1990)+        0           2.02000        8               1               1      1      0      0      0        0        0.300000        0
        9832116       N(2000)0        0           2.00000        6               1               1      0      0      0      0        0        0.294000        0
        9832216       N(2000)+        0           2.00000        6               1               1      1      0      0      0        0        0.294000        0
        9851214       N(2040)0        0           2.05400        4               1               1      0      0      0      0        0        0.197000        0
        9852124       N(2040)+        0           2.05400        4               1               1      1      0      0      0        0        0.197000        0
        9842116       N(2060)0        0           2.10000        6               1               1      0      0      0      0        0        0.400000        0
        9842216       N(2060)+        0           2.10000        6               1               1      1      0      0      0        0        0.400000        0
        9872112       N(2100)0        0           2.10000        2               1               1      0      0      0      0        0        0.260000        0
        9872212       N(2100)+        0           2.10000        2               1               1      1      0      0      0        0        0.260000        0
        9861214       N(2120)0        0           2.12000        4               1               1      0      0      0      0        0        0.300000        0
        9862124       N(2120)+        0           2.12000        4               1               1      1      0      0      0        0        0.300000        0
           1218       N(2190)0        0           2.18000        8               1               1      0      0      0      0        0        0.400000        0
           2128       N(2190)+        0           2.18000        8               1               1      1      0      0      0        0        0.400000        0
        9902118       N(2220)0        0           2.25000        10              1               1      0      0      0      0        0        0.400000        0
        9902218       N(2220)+        0           2.25000        10              1               1      1      0      0      0        0        0.400000        0
        9912118       N(2250)0        0           2.28000        10              1               1      0      0      0      0        0        0.500000        0
        9912218       N(2250)+        0           2.28000        10              1               1      1      0      0      0        0        0.500000        0
        9882112       N(2300)0        0           2.30000        2               1               1      0      0      0      0        0        0.340000        0
        9882212       N(2300)+        0           2.30000        2               1               1      1      0      0      0        0        0.340000        0
        9852116       N(2570)0        0           2.57000        6               1               1      0      0      0      0        0        0.250000        0
        9852216       N(2570)+        0           2.57000        6               1               1      1      0      0      0        0        0.250000        0
        9902112       N(2600)0        0           2.60000        12              1               1      0      0      0      0        0        0.650000        0
        9902212       N(2600)+        0           2.60000        12              1               1      1      0      0      0        0        0.650000        0
        9902114       N(2700)0        0           2.61200        14              1               1      0      0      0      0        0        0.350000        0
        9902214       N(2700)+        0           2.61200        14              1               1      1      0      0      0        0        0.350000        0
           1114       Delta(1232)-    0           1.23200        4               1               1     -1      0      0      0        0        0.117000        0
           2114       Delta(1232)0    0           1.23200        4               1               1      0      0      0      0        0        0.117000        0
           2214       Delta(1232)+    0           1.23200        4               1               1      1      0      0      0        0        0.117000        0
           2224       Delta(1232)++   0           1.23200        4               1               1      2      0      0      0        0        0.117000        0
          31114       Delta(1600)-    0           1.57000        4               1               1     -1      0      0      0        0        0.250000        0
          32114       Delta(1600)0    0           1.57000        4               1               1      0      0      0      0        0        0.250000        0
          32214       Delta(1600)+    0           1.57000        4               1               1      1      0      0      0        0        0.250000        0
